^,a9,Main language spoken at home
x,5, Prefer not to say
^,l8k1,I know how to use incognito in browsing
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8l,I know which information I should and shouldn’t share online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8m,I know how to remove people from my contact lists
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8m1,I know how to block
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8n,I know when I should and shouldn’t share information online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8o,I know how to behave according to the situation online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8p,I know how to change who I share content with (e.g. friends; friends of friends or everyone)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8p1,I know how to report abusive posts or things that I find offending in social media (e.g. Facebook report abuse)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8t,I know how to create something new from video or music that I found online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8q,I know how to post online video or music that I have created myself
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8s,I know which different types of licences apply to online content
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8r,I know how to edit or make basic changes to online content that others have created
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8u,I know how to design a website
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8v,I know how to install apps on a mobile device (e.g. phone or tablet)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8w,I know how to keep track of the costs of mobile app use
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8x,I know how to make an in-app purchase
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8x1,I know how to download and carck to full version some paid apps without paying a fee (e.g. torrent; etc.)
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l48a,Talk to your child about what he/she does on the internet?
a,0, No
b,1, Yes
^,l48b,Encourage your child to explore and learn things on the internet?
a,0, No
b,1, Yes
^,l48c,Sit with your child while he/she uses the internet?
a,0, No
b,1, Yes
^,l48d,Stay nearby when your child uses the internet?
a,0, No
b,1, Yes
^,l49a,Started a discussion with you about what he/she does on the internet?
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l49b,Told you about things she/he finds upsetting on the internet?
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l49c,Asked for your advice on how she/he should act online?
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l49d,Asked for products and/or services that she/he has seen advertisements for online?
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l49e,Asked for your help with a situation on the internet that she/he cannot handle?
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l12a,Use a web or phone camera (e.g.; for Skype or video chat)
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12d,Watch video clips (e.g.; on YouTube)
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12b,Download music or films
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12e,Play games with other people online
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12c,Visit a social networking site (e.g. Facebook; [insert local terms])
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12f,Visit a chat room
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12g,Use instant messaging
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12h,Read/watch news online
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12i,Use the internet for school work
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12j,Spend time in a virtual world (e.g.; Habbo; Club Penguin; Minecraft)
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12k,Put (or post) photos; videos or music online to share with others (including social networking or instant messaging)
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l50a,Suggest ways to use the internet safely
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50b,Talk to him/her about what to do if something on the internet upsets him/her
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50c,Help him/her when something is difficult to do or to find on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50d,Explain why some websites are appropriate or inappropriate
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50e,Help him/her when something has upset him/her on the internet
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50f,Talk to him/her about the commercial activities they are exposed to online
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l13a,Parental controls or other means of blocking or filtering some types of website
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13b,Parental controls or other means of keeping track of the websites or apps your child visits
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13c,Rules about how long or when your child is allowed to go online
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13d,A service or contract that limits the time your child spends on the internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13e,Software to prevent spam or junk mail/viruses
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13f,Parental controls that filter the apps your child can download
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13g,Parental controls that alert me when your child wants to buy content (in-app purchase)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13h,Software that limits the people my child can be in touch with (through voice calls and SMS/TEXT MMS)
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13i,Ad blocking software
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l14a,Which friends or contacts he/she adds to his/her social networking profile/instant messaging service
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14b,The messages in his/her email or other app for communicating with people
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14c,Which websites he/she visited
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14d,His/her profile on a social networking site or online community
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14e,The apps he/she downloaded
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14f,The in-app purchases he/she made
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l21a,Had contact on the internet with someone that my child had not met face-to-face before
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l21b,Been treated in a hurtful or nasty way on the internet by someone? (This includes being teased repeatedly in a way he/she did not like; or being deliberately excluded or left out of things.)
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l21d,Treated someone else in a hurtful or nasty way on the internet? (This includes having teased someone repeatedly in a way he/she did not like; or threatened; or deliberately excluded or left them out of things.)
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l21c,Met anyone face-to-face that my child first got to know on the internet
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l21e,Sent or received any messages with inappropriate content in words; photos or videos (pertaining to sex; sexual intercourse or nudity) using the internet?
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22a,Ways of physically harming or hurting themselves
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22b,Ways of committing suicid
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22c,Ways to be very thin (such as anorexic or bulimic)
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22d,Hate messages that attack certain groups or individuals(e.g.; people of different colour or religion or nationality)
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22e,Their experiences of taking drugs
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l22f,Gory or violent images
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23a,Somebody used his or her personal information in a way he or she didn’t like
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23b,The device s/he uses got a virus
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23c,S/he lost money by being cheated on the internet
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23d,Somebody used my child’s password to access his or her information or to pretend to be him or her
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23e,Somebody created a page or image about him or her that was hostile or hurtful
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23f,S/he spent too much money on online games or in-app purchases
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23g, S/he was asked to make an in-app purchase when playing an online game (e.g. to progress faster in the game)
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l23h,Someone found out where your child was because they tracked his/her phone
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24a,S/he has seen images on the internet that are obviously sexual
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24b,S/he has received a sexual message (this could be words; pictures or videos)
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24c,S/he has sent or posted a sexual message (this could be words; pictures or videos about them or someone else)
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24d,S/he was sent a message that s/he did not want with advertisements for or links to X-rated websites [use local term for ‘X-rated’]
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24e,S/he opened a message or a link in a message that showed pictures of naked people or of people having sex that s/he did not want
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24f,S/he has seen or received a sexual message; image or video about someone else that s/he did not want
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24g,S/he has been asked for sexual information about him/herself (like what his/her body looks like without clothes on or sexual things s/he has done) when s/he did not want to answer such questions
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24h,S/he has been asked to talk about sexual acts with someone on the internet when s/he did not want to
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24i,S/he has been asked by someone on the internet to do something sexual when s/he did not want to
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l24j,S/he has been asked on the internet for a photo or video showing her/his private parts [translate as appropriate] when s/he did not want to
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l27,Estimated total annual income bracket
a,1, Less than P40000
b,2, P40000 - P59999
b,3, P60000 - P99999
b,4, P100000 - P249999
c,5, More than P250000
^,l36,Attended school or pre-school
a,1, No
b,2, Yes
^,l28,Highest level of education
a,1, Post-graduate
a,2, College
b,3, High School
b,4, Elementary
b,5, Pre-school
c,6, Don't know
c,7, Others
^,l37,Language
a,1, Tagalog
b,2, Cebuano
c,3, Ilocano
d,4, Bisaya
e,5, Illonggo
f,6, Bicol
g,7, Waray
h,8, Others
^,l38,Religion
a,1, Roman Catholic
b,2, Islam
c,3, Born-Again Christian
d,4, Protestant
e,5, Iglesia ni Cristo
f,6, Others
^,l31,Frequency church
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
^,l39,Muslim: frequency pray
a,1, Never
b,2, Once a day
b,3, Three times a day
b,4, Five times a day
b,5, More than 5 times a day
^,l32,Paid job
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l40,Job status
a,1, Permanent
b,2, Contractual
b,3, Under Probation
^,l33,Why do you not have a job
a,1, I am sick
a,2, I am retired
b,3, I am a student
b,4, I am looking for a job
c,5, I take care of others; or I am full-time in the home
^,l41,Other source of income
a,0, No
b,1, Yes
^,l41a,Spouse paid job locally
a,0, No
b,1, Yes
^,l41b,Other children paid job locally
a,0, No
b,1, Yes
^,l41c,Family OFW
a,0, No
b,1, Yes
^,l41d,Non-OFW relatives
a,0, No
b,1, Yes
^,l41e,Family business
a,0, No
b,1, Yes
^,l41f,Family stipend from government
a,0, No
b,1, Yes
^,l41g,Other
a,0, No
b,1, Yes
^,l42,Marital Status
a,1, Single
b,2, Married
c,3, Separated from spouse
d,4, Has a live-in partner
e,5, Widowed
^,l43,How old are you?
x,99, Prefer not to say
^,l44,Gender
a,1, Male
b,2, Female
^,l35a,Child health
a,0, No
b,1, Yes
^,l35b,Having enough money
a,0, No
b,1, Yes
^,l35c,Child school performance
a,0, No
b,1, Yes
^,l35d,Other children treating your child
a,0, No
b,1, Yes
^,l35e,Child drinking alcohol
a,0, No
b,1, Yes
^,l35f,Child inappropriate material on the internet
a,0, No
b,1, Yes
^,l35g,Stranger contacting child on internet
a,0, No
b,1, Yes
^,l35h,Child sexual activities
a,0, No
b,1, Yes
^,l35i,Child victim of crime
a,0, No
b,1, Yes
^,l35j,Child trouble with police
a,0, No
b,1, Yes
^,l35k,Child injury on the road
a,0, No
b,1, Yes
^,l35l,Other
a,0, No
b,1, Yes
^,l34a,Physical disability
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34b,Physical illness
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34c,Mental Health difficulty
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34d,Behavioural difficulty
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34e,Learning difficulty
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l34f,Other
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l45a,Sports
a,0, No
b,1, Yes
^,l45b,Read books
a,0, No
b,1, Yes
^,l45c,play games using gadget/computer
a,0, No
b,1, Yes
^,l45d,send messages to friends using phone and/or computer
a,0, No
b,1, Yes
^,l45e,Go out with friends
a,0, No
b,1, Yes
^,l45f,Music
a,0, No
b,1, Yes
^,l45g,Take picture/video
a,0, No
b,1, Yes
^,l45h,Download/Upload music; photos and videos on the internet
a,0, No
b,1, Yes
^,l45i,Write
a,0, No
b,1, Yes
^,l45j,Watch movies/videos on the internet
a,0, No
b,1, Yes
^,l45k,Other
a,0, No
b,1, Yes
^,l1,Use internet
a,1, No; I have never used it
b,2, Yes; I have used it for a few months
b,3, Yes; I have used it for about a year
b,4, Yes; I have used if for a few years
x,5, Prefer not to say
^,l46,use internet with child
a,1, No
b,2, Yes
^,l47a,play games
a,0, No
b,1, Yes
^,l47b,online messaging
a,0, No
b,1, Yes
^,l47c,upload/download photos/videos
a,0, No
b,1, Yes
^,l47d,use webcam
a,0, No
b,1, Yes
^,l47e,chat in chatroom
a,0, No
b,1, Yes
^,l47f,research/homework
a,0, No
b,1, Yes
^,l47g,movies/short videos
a,0, No
b,1, Yes
^,l47h,other
a,0, No
b,1, Yes
^,l6a,Work
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6b,Home
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6c,Home of friends or relatives
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily of almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6d,Public
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6e,On the way
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l6f,By myself
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7a,Nonsmartphone mobile phone
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7b,Smartphone
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7c,Desktop PC
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7d,Laptop
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7e,Tablet
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l7f,Game console
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily of almost daily
b,6, Several times each day
b,7, Almost all the time
x,8, Prefer not to say
^,l8a,Save photo online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8b,Change privacy settings
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8c,Use programmin language
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f1,Jailbreak
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f2,Hide my IP
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f3,Set network settings
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f4,Hack files
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8f5,Set firewall
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8i,Find website I have visited before
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8g,Check information online is true
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8h,Choose best search keywords
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8k,I end up on websites without knowing
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8k1,Use incognito
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8l,Know which info to share and not share
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8m,remove from my contact lists
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8m1,Block
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8n,Know which info to send and not send
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8o,behave according to situation online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8p,Change share settings
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8p1,Report abusive posts
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8t,Create something from video or music I found online
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8q,Post online video or music I created
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8s,Know which license apply to content
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8r,Edit online content others created
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8u,Design a website
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8v,Install apps
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8w,Keep track of the costs of app use
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8x,Make in-app purchase
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l8x1,Download and crack apps without pating a fee
a,1, Not true for me
b,2, A bit true for me
b,3, Fairly true for me
b,4, Very true for me
x,5, Prefer not to say
^,l48a,Talk about what he/she does
a,0, No
b,1, Yes
^,l48b,Encourage child to explore
a,0, No
b,1, Yes
^,l48c,Sit with child
a,0, No
b,1, Yes
^,l48d,Stay nearby
a,0, No
b,1, Yes
^,l49a,Discuss with you about internet
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l49b,Told you things he/she finds on the internet
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l49c,Ask advice on how he/she act online
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l49d,Ask products/services from online ads
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l49e,Ask help for situations he/she can't handle online
a,1, No
b,2, Yes
c,3, Don't know
x,4, Prefer not to say
^,l12a,Use a web or phone camera
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12d,Watch video
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12b,Download music
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12e,Play games
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12c,Social networking
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12f,Chatroom
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12g,Instant messaging
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12h,Read/watch news
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12i,School work
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12j,Spend time in virtual world
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l12k,Share music; photos; videos and posts
a,1, Allowed to do this anytime
b,2, Allowed to do tis with permission or supervision
b,3, Can never do this
x,4, Prefer not to say
^,l50a,Suggest ways for safety
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50b,Talk if something upsets him/her
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50c,Help when something is difficult
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50d,Explain why things are in/appropriate
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50e,Help when something upsets him/her
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l50f,Talk about commercial activities
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l51,As far as you are aware; in the past year; how often has anything happened online that bothered or upset your child in some way (e.g. made them feel uncomfortable; upset; or feel that they shouldn't have seen it)?
a,1, Never
a,2, Hardly ever
b,3, At least every month
b,4, At least every week
b,5, Daily or almost daily
c,6, Don't know
x,7, Prefer not to say
^,l13a,Blocking websites for your child
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13b,Keeping track of web apps for your child
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13c,Rules on how long he/she can go online
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13d,Service that limits time child sepnds on internet
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13e,Sowtware for spam/junk mail/virus
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13f,Filter apps child can download
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13g,Alert when child wants to but content
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13h,Limit people my child can be in touch
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l13i,Ad block
a,1, No
b,2, Yes
x,3, Prefer not to say
^,l14a,Which friends or contacts he/she adds to his/her social networking profile/instant messaging service
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14b,Messages in email or other apps
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14c,Websites visited
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14d,Profile in social network
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14e,Apps downloaded
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
^,l14f,In-app purchases
a,1, Never
a,2, Hardly ever
b,3, Sometimes
b,4, Often
b,5, Very often
x,6, Prefer not to say
